record_type,case_id,entity_id,evidence_id,location_id,event_id,review_id,test_id,issue_id,issue_type,description,related_entity_id,related_evidence_id,status,audit_id,action,target_type,target_id,actor,timestamp,details,case_name,case_type,priority,incident_start,incident_end,primary_location,event_type,event_time,confidence,file_name,file_type,source_type,sha256,uploaded_by,uploaded_at,processed_at,name,type,address,latitude,longitude,accuracy_m,primary_evidence_id,aliases,observation_id,observed_at,source_id,relationship_type,source_reference,relationship_source,relationship_target,ai_confidence,reason,review_note,test_area,test_action,expected_result
ai_test_issues,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,ISS001,CONFLICT,Phone 9876500011 appears associated with Rahul and may also be associated with Sonal.,P001,E002,OPEN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ai_test_issues,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,ISS002,DUPLICATE,Rahul Mehta and R. Mehta may refer to the same person.,P005,E001,OPEN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ai_test_issues,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,ISS003,MISSING_DATA,One pending location observation has no exact verified source confirmation.,P001,E005,OPEN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ai_test_issues,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,ISS004,LOW_CONFIDENCE,Rahul to Industrial Warehouse observation has confidence 82 and remains pending.,P001,E005,OPEN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
audit_log,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A001,EVIDENCE_UPLOADED,EVIDENCE,E001,INS001,2026-08-10T09:05:00,FIR uploaded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
audit_log,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A002,AI_SUGGESTION_CREATED,REVIEW,R001,SYSTEM,2026-08-10T09:06:20,Possible duplicate entity,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
audit_log,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A003,RELATIONSHIP_ACCEPTED,RELATIONSHIP,P001-PH001,INS001,2026-08-10T09:30:00,Verified from CDR row 12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
audit_log,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A004,RELATIONSHIP_EDITED,REVIEW,R008,INS001,2026-08-10T11:40:00,Alias corrected before verification,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
audit_log,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A005,RELATIONSHIP_REJECTED,REVIEW,R007,INS001,2026-08-10T12:10:00,Unsupported by evidence,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
audit_log,C-TEST-2026-001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A006,REPORT_GENERATED,REPORT,REP001,INS001,2026-08-14T17:00:00,Synthetic test report,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
